"","Minimum","Median","Mean","Maximum","Std. Deviation","Observations"
"Temperature",-1.3645,12.6818,11.4940881331492,25.32155,4.79478471371178,24619
"Salinity",11.2637421647307,29.7656254239497,29.1975970439599,32.0873933501735,2.0607007335245,23707
"DO, (uMole/kg)",174.072265625,324.2655,328.548547450762,417.8466796875,46.0032346628797,18542
"DO (mg/l)",5.72035339306641,10.655995350663,10.7967446247054,13.7312550241699,1.51175581331688,18542
"pCO2",190.8,560.6,578.284349737254,1409.5206,171.722425618124,18535
"pCO2_corr",7.45255,7.9192,7.93392596071401,8.31685,0.118123089921347,12829
"pH",335.68,608.08,589.854723993663,1037.91,113.440325541157,24619
"Omega Aragonite",228.06,584.565,582.175610967185,1298.44,127.359969085647,18528
"Omega Calcite",0.158819020875819,1.74042747146521,1.66927204797397,3.39910125504973,0.471121491863687,7110
"TA",0.253520665473792,2.7499953828211,2.63479890619489,5.34769227218303,0.743911180386886,7110
